Area Task,Cost Star One
A1T1,100
A1T2,150
A1T3,100
A1T4,150
A1T5,100
A1T6,150
A1T7,200
A1T8,100
A1T9,150
A1T10,300
A2T1,150
A2T2,200
A2T3,150
A2T4,300
A2T5,200
A2T6,300
A2T7,350
A2T8,400
A2T9,200
A2T10,250
A3T1,200
A3T2,300
A3T3,350
A3T4,300
A3T5,200
A3T6,400
A3T7,250
A3T8,400
A3T9,300
A3T10,200
A3T11,400
A4T1,250
A4T2,400
A4T3,300
A4T4,400
A4T5,300
A4T6,350
A4T7,300
A4T8,400
A4T9,300
A4T10,500
A5T1,400
A5T2,300
A5T3,350
A5T4,450
A5T5,500
A5T6,400
A5T7,300
A5T8,350
A5T9,500
A5T10,450
A6T1,400
A6T2,500
A6T3,400
A6T4,500
A6T5,400
A6T6,450
A6T7,350
A6T8,400
A6T9,500
A6T10,600
A7T1,500
A7T2,600
A7T3,400
A7T4,500
A7T5,550
A7T6,600
A7T7,450
A7T8,500
A7T9,400
A7T10,500
A8T1,450
A8T2,550
A8T3,450
A8T4,600
A8T5,400
A8T6,650
A8T7,550
A8T8,650
A8T9,500
A8T10,700
A9T1,600
A9T2,700
A9T3,550
A9T4,650
A9T5,700
A9T6,500
A9T7,450
A9T8,700
A9T9,550
A9T10,600
A10T1,600
A10T2,550
A10T3,750
A10T4,600
A10T5,550
A10T6,700
A10T7,600
A10T8,700
A10T9,650
A10T10,800
A11T1,650
A11T2,550
A11T3,700
A11T4,750
A11T5,550
A11T6,750
A11T7,800
A11T8,650
A11T9,700
A11T10,900
A12T1,600
A12T2,500
A12T3,900
A12T4,700
A12T5,600
A12T6,700
A12T7,800
A12T8,800
A12T9,900
A12T10,1000
A13T1,700
A13T2,1000
A13T3,700
A13T4,800
A13T5,700
A13T6,900
A13T7,900
A13T8,600
A13T9,700
A13T10,1000
A14T1,700
A14T2,1100
A14T3,1000
A14T4,800
A14T5,700
A14T6,900
A14T7,800
A14T8,600
A14T9,800
A14T10,1100
A15T1,700
A15T2,900
A15T3,1000
A15T4,1100
A15T5,800
A15T6,1200
A15T7,1100
A15T8,600
A15T9,500
A15T10,1100
A16T1,700
A16T2,1000
A16T3,800
A16T4,900
A16T5,1100
A16T6,700
A16T7,900
A16T8,1000
A16T9,800
A16T10,1100
A17T1,900
A17T2,850
A17T3,700
A17T4,650
A17T5,900
A17T6,1000
A17T7,1100
A17T8,750
A17T9,800
A17T10,1000
A17T11,950
A17T12,1200
A18T1,1000
A18T2,850
A18T3,900
A18T4,800
A18T5,1100
A18T6,1000
A18T7,800
A18T8,850
A18T9,700
A18T10,1000
A19T1,900
A19T2,1000
A19T3,800
A19T4,1000
A19T5,850
A19T6,1000
A19T7,700
A19T8,750
A19T9,900
A19T10,1100
A20T1,1000
A20T2,900
A20T3,1000
A20T4,800
A20T5,1000
A20T6,1100
A20T7,1100
A20T8,600
A20T9,800
A20T10,700
A20T11,800
A20T12,1100
A20T13,700
A20T14,1000
A21T1,900
A21T2,800
A21T3,900
A21T4,700
A21T5,1050
A21T6,900
A21T7,1000
A21T8,1100
A21T9,950
A21T10,700
A21T11,1000
A21T12,800
A22T1,900
A22T2,600
A22T3,700
A22T4,1050
A22T5,1000
A22T6,1100
A22T7,900
A22T8,850
A22T9,1000
A22T10,800
A22T11,1000
A23T1,1100
A23T2,900
A23T3,1000
A23T4,1100
A23T5,700
A23T6,600
A23T7,900
A23T8,700
A23T9,1000
A23T10,1100
A23T11,900
A23T12,600
A23T13,1100
A24T1,600
A24T2,1000
A24T3,600
A24T4,1100
A24T5,1100
A24T6,1000
A24T7,900
A24T8,600
A24T9,800
A24T10,1100
A24T11,1100
A25T1,900
A25T2,1000
A25T3,950
A25T4,700
A25T5,1100
A25T6,900
A25T7,800
A25T8,1000
A25T9,1050
A25T10,900
A25T11,800
A25T12,700
A26T1,1000
A26T2,550
A26T3,900
A26T4,1100
A26T5,800
A26T6,600
A26T7,900
A26T8,1000
A26T9,1050
A26T10,900
A26T11,1100
A26T12,900
